gran,n_b,m_b,work,aspect,cost_A_outer_s,cost_B_outer_s,flip,orientation_speedup
medium,1603,798,1279194,2.008771929824561,14418.88,14067.2,True,1.025
medium,1599,767,1226433,2.0847457627118646,13715.52,13715.52,False,1.0
medium,1598,793,1267214,2.0151324085750315,14067.2,14067.2,False,1.0
medium,1581,769,1215789,2.0559167750325096,13363.84,13715.52,False,1.0263157894736843
medium,1573,777,1222221,2.0244530244530243,13363.84,13715.52,False,1.0263157894736843
medium,1572,779,1224588,2.017971758664955,13363.84,13715.52,False,1.0263157894736843
medium,1570,776,1218320,2.0231958762886597,13363.84,13715.52,False,1.0263157894736843
medium,1564,763,1193332,2.0498034076015728,13363.84,13715.52,False,1.0263157894736843
medium,1561,761,1187921,2.0512483574244413,13363.84,13715.52,False,1.0263157894736843
medium,1555,770,1197350,2.0194805194805197,13363.84,13715.52,False,1.0263157894736843
medium,1554,777,1207458,2.0,13012.16,13715.52,False,1.0540540540540542
medium,1550,757,1173350,2.047556142668428,13012.16,13363.84,False,1.027027027027027
medium,1546,741,1145586,2.086369770580297,12660.48,13363.84,False,1.0555555555555556
medium,1542,744,1147248,2.0725806451612905,12660.48,13363.84,False,1.0555555555555556
medium,1540,721,1110340,2.1359223300970873,12308.8,13012.16,False,1.0571428571428572
medium,1536,767,1178112,2.002607561929596,13012.16,13715.52,False,1.0540540540540542
medium,1527,759,1158993,2.0118577075098814,13012.16,13363.84,False,1.027027027027027
medium,1521,741,1127061,2.0526315789473686,12308.8,13363.84,False,1.0857142857142859
medium,1516,745,1129420,2.03489932885906,13012.16,13363.84,False,1.027027027027027
medium,1515,735,1113525,2.061224489795918,12308.8,13012.16,False,1.0571428571428572
medium,1511,749,1131739,2.0173564753004007,12660.48,13363.84,False,1.0555555555555556
medium,1509,751,1133259,2.0093209054593877,12660.48,13363.84,False,1.0555555555555556
medium,1495,702,1049490,2.1296296296296298,11605.44,12660.48,False,1.0909090909090908
medium,1488,728,1083264,2.043956043956044,11957.12,11957.12,False,1.0
medium,1487,740,1100380,2.0094594594594595,11957.12,11957.12,False,1.0
medium,1484,734,1089256,2.0217983651226157,11957.12,11957.12,False,1.0
medium,1477,696,1027992,2.1221264367816093,11605.44,11253.76,True,1.03125
medium,1466,694,1017404,2.112391930835735,11253.76,11253.76,False,1.0
medium,1464,720,1054080,2.033333333333333,11957.12,11605.44,True,1.0303030303030303
medium,1460,730,1065800,2.0,11957.12,11957.12,False,1.0
medium,1458,719,1048302,2.0278164116828927,11957.12,11605.44,True,1.0303030303030303
medium,1455,699,1017045,2.0815450643776825,11253.76,11253.76,False,1.0
medium,1453,719,1044707,2.0208623087621698,11957.12,11605.44,True,1.0303030303030303
medium,1452,723,1049796,2.008298755186722,11605.44,11605.44,False,1.0
medium,1451,694,1006994,2.090778097982709,11253.76,11253.76,False,1.0
medium,1445,719,1038955,2.0097357440890127,11605.44,11605.44,False,1.0
medium,1437,703,1010211,2.0440967283072546,11253.76,11253.76,False,1.0
medium,1433,709,1015997,2.0211565585331455,11253.76,11605.44,False,1.03125
medium,1430,710,1015300,2.0140845070422535,11253.76,11605.44,False,1.03125
medium,1422,694,986868,2.048991354466859,10902.08,11253.76,False,1.032258064516129
medium,1420,689,978380,2.0609579100145137,10902.08,11253.76,False,1.032258064516129
medium,1416,691,978456,2.0492040520984083,10902.08,11253.76,False,1.032258064516129
medium,1409,693,976437,2.033189033189033,10902.08,11253.76,False,1.032258064516129
medium,1401,691,968091,2.0274963820549927,10902.08,11253.76,False,1.032258064516129
medium,1400,689,964600,2.0319303338171264,10902.08,11253.76,False,1.032258064516129
medium,1399,682,954118,2.0513196480938416,10550.4,10902.08,False,1.0333333333333334
medium,1397,686,958342,2.0364431486880465,10902.08,11253.76,False,1.032258064516129
medium,1397,697,973709,2.004304160688666,10902.08,11253.76,False,1.032258064516129
medium,1391,693,963963,2.0072150072150072,10902.08,11253.76,False,1.032258064516129
medium,1389,681,945909,2.039647577092511,10198.72,10902.08,False,1.0689655172413794
medium,1387,685,950095,2.024817518248175,10902.08,11253.76,False,1.032258064516129
medium,1383,661,914163,2.092284417549168,10198.72,10902.08,False,1.0689655172413794
medium,1379,678,934962,2.033923303834808,10198.72,10902.08,False,1.0689655172413794
medium,1378,674,928772,2.0445103857566767,10198.72,10902.08,False,1.0689655172413794
medium,1376,678,932928,2.0294985250737465,10198.72,10902.08,False,1.0689655172413794
medium,1372,666,913752,2.06006006006006,10198.72,10902.08,False,1.0689655172413794
medium,1366,670,915220,2.038805970149254,10198.72,10902.08,False,1.0689655172413794
medium,1364,661,901604,2.0635400907715584,10198.72,9847.04,True,1.0357142857142856
medium,1364,663,904332,2.057315233785822,10198.72,9847.04,True,1.0357142857142856
medium,1361,678,922758,2.0073746312684366,10198.72,10198.72,False,1.0
medium,1360,676,919360,2.0118343195266273,10198.72,10198.72,False,1.0
medium,1357,654,887478,2.0749235474006116,9847.04,9847.04,False,1.0
medium,1350,669,903150,2.0179372197309418,10198.72,9847.04,True,1.0357142857142856
medium,1349,670,903830,2.0134328358208955,10198.72,9847.04,True,1.0357142857142856
medium,1346,653,878938,2.0612557427258804,9495.36,9847.04,False,1.037037037037037
medium,1342,648,869616,2.0709876543209877,9495.36,9495.36,False,1.0
medium,1335,662,883770,2.016616314199396,9847.04,9847.04,False,1.0
medium,1334,656,875104,2.033536585365854,9847.04,9847.04,False,1.0
medium,1334,656,875104,2.033536585365854,9847.04,9847.04,False,1.0
medium,1334,649,865766,2.0554699537750385,9495.36,9847.04,False,1.037037037037037
medium,1329,638,847902,2.08307210031348,9495.36,9495.36,False,1.0
medium,1329,655,870495,2.0290076335877862,9495.36,9847.04,False,1.037037037037037
medium,1327,640,849280,2.0734375,9495.36,9495.36,False,1.0
medium,1325,616,816200,2.1509740259740258,9143.68,9143.68,False,1.0
medium,1323,656,867888,2.0167682926829267,9847.04,9847.04,False,1.0
medium,1315,636,836340,2.0676100628930816,9495.36,9495.36,False,1.0
medium,1314,651,855414,2.0184331797235022,9495.36,9847.04,False,1.037037037037037
medium,1314,650,854100,2.0215384615384617,9495.36,9847.04,False,1.037037037037037
medium,1311,647,848217,2.026275115919629,9495.36,9495.36,False,1.0
medium,1307,605,790735,2.1603305785123967,8792.0,9143.68,False,1.04
medium,1303,631,822193,2.0649762282091917,9495.36,9495.36,False,1.0
medium,1302,638,830676,2.040752351097179,9495.36,9495.36,False,1.0
medium,1302,630,820260,2.066666666666667,9143.68,9495.36,False,1.0384615384615385
medium,1295,614,795130,2.1091205211726383,8792.0,9143.68,False,1.04
medium,1295,628,813260,2.0621019108280256,8792.0,9495.36,False,1.08
medium,1294,623,806162,2.077046548956661,8792.0,9143.68,False,1.04
medium,1294,629,813926,2.057233704292528,8792.0,9495.36,False,1.08
medium,1281,613,785253,2.0897226753670473,8792.0,9143.68,False,1.04
medium,1280,612,783360,2.0915032679738563,8792.0,9143.68,False,1.04
medium,1275,623,794325,2.0465489566613164,8792.0,9143.68,False,1.04
medium,1274,628,800072,2.0286624203821657,8792.0,9495.36,False,1.08
medium,1272,620,788640,2.0516129032258066,8792.0,9143.68,False,1.04
medium,1262,613,773606,2.0587275693311584,8792.0,9143.68,False,1.04
medium,1260,608,766080,2.0723684210526314,8792.0,8440.32,True,1.0416666666666667
medium,1259,604,760436,2.084437086092715,8440.32,8440.32,False,1.0
medium,1255,623,781865,2.014446227929374,8792.0,8440.32,True,1.0416666666666667
