gran,strategy,n_cts,total_cmp,utilization,padding_pct,n_groups
coarse,greedy,1,2,0.7845458984375,21.54541015625,1
coarse,shape_aware,10,20,0.07845458984375,92.154541015625,10
medium,greedy,8237,16474,0.9999701307861061,0.002986921389391828,1
medium,shape_aware,8304,16608,0.9919019710121816,0.8098028987818418,135
fine,greedy,3115,6230,0.9998670256539677,0.013297434603232183,1
fine,shape_aware,3182,6364,0.9788138858931833,2.11861141068167,126
